Zone,T,a0,a1,b0,b1,a2,b2,a3,Ma,Mb,Mref2,Rref,f2,f3,s1,s2,xl,xh,AFmin,AFmax
313,0.4,0.997090033,0.007971664,0.051052757,-0.010064294,0.001991675,-0.004353909,0.001681319,4.5,5.5,3.2,10.25,-0.26265188,0.238221662,0.293414015,0.301736101,0.053455976,0.238221662,0.25,2.761890174
313,0.5,1.030101605,3.22E-05,0.030431776,-0.005061076,0.001011853,-0.002170915,0.00073871,4.5,5.5,3.2,10.25,-0.178223578,0.18705937,0.307554192,0.30588202,0.056117811,0.18705937,0.25,2.782138909
313,0.6,0.998987473,0,0.017191449,-0.002051941,0,-0.000857545,0.000237664,4.5,5.5,3.2,10.25,-0.088509557,0.136390187,0.320158101,0.316460063,0.040917056,0.136390187,0.25,2.704367805
313,0.7,0.934960612,0,0.01001523,-0.000522897,0,-0.000200573,1.15E-05,4.5,5.5,3.2,10.25,-0.013917699,0.095272333,0.326298657,0.326450347,0.0285817,0.095272333,0.25,2.544459408
313,0.85,0.845853036,0,0.0056427,0.000320015,0,0.000153444,-9.09E-05,4.5,5.5,3.2,10.25,0.020192695,0.063975137,0.315875375,0.324961927,0.019192541,0.063975137,0.25,2.398653285
313,1,0.761937279,0,0.004677135,0.000460796,0,0.000206502,-9.14E-05,4.5,5.5,3.2,10.25,0.022122408,0.059152587,0.294692056,0.309783116,0.017745776,0.059152587,0.25,2.215743374
316,0.01,0.793583151,0.047051396,0.713385505,-0.168015732,0.011708921,-0.125300122,-0.048401461,6.5,5.1,3.2,10.25,-0.396486823,0.275013819,0.248014317,0.227270442,0.031793673,0.275013819,0.25,1.590352654
316,0.1,0.631674618,0.030523731,0.183011708,-0.033976545,0.001251276,-0.05992885,0.003564272,4.5,4.7,3.2,10.25,-1.299966884,0.545897441,0.36467293,0.377788554,0.022688494,0.545897441,0.25,1.88688662
316,0.2,0.970601403,0.010238629,0.134128656,-0.026076967,-0.006599784,-0.027023106,0.0001172,4.5,4.7,3.2,10.25,-0.747210991,0.361972429,0.327818105,0.350916789,0.027403092,0.361972429,0.25,2.537931982
316,0.3,1.035768879,0.009943628,0.096044409,-0.020756531,-0.006591949,-0.013886343,-0.000770184,4.5,4.7,3.2,10.25,-0.405823173,0.289733607,0.319021916,0.331474783,0.041249637,0.289733607,0.25,2.780440571
316,0.4,1.037820969,0.002985143,0.062933069,-0.012682285,-0.000190239,-0.007356106,-0.000813103,4.5,4.7,3.2,10.25,-0.26613663,0.252412117,0.30634366,0.324330521,0.063085444,0.252412117,0.25,2.803190626
316,0.5,1.005158191,0.002006151,0.039794779,-0.006401258,-0.001477406,-0.003342942,-0.000598778,4.5,4.7,3.2,10.25,-0.188178397,0.225900876,0.304785065,0.317338138,0.067770263,0.225900876,0.25,2.717368877
316,0.6,1.027987651,0,0.025489635,-0.002614642,0,-0.001155347,-0.000350176,4.5,4.7,3.2,10.25,-0.158360976,0.202422325,0.307463576,0.312366431,0.060726698,0.202422325,0.25,2.785604149
316,0.7,1.067224257,0,0.01730271,-0.000681645,0,-0.000135667,-0.000174492,4.5,4.7,3.2,10.25,-0.154365678,0.179065454,0.309112615,0.311149821,0.053719636,0.179065454,0.25,2.905057823
316,0.85,1.055689488,0,0.011582138,0.000390925,0,0.000354383,-3.89E-05,4.5,4.7,3.2,10.25,-0.11659676,0.143136044,0.301492758,0.308946275,0.042940813,0.143136044,0.25,2.875931633
316,1,0.992292932,0,0.009214192,0.000575251,0,0.000382578,1.25E-05,4.5,4.7,3.2,10.25,-0.024020267,0.110436767,0.292122664,0.306320953,0.03313103,0.110436767,0.25,2.699817903
317,0.01,0.615077685,0.088389057,0.646125351,-0.146691538,0.001304758,-0.117471271,-0.037970464,6.5,5.3,3.2,10.25,-0.412465131,0.263775339,0.267920979,0.229722509,0.031158941,0.263775339,0.25,1.472614938
317,0.1,0.535490764,0.032525716,0.130638804,-0.026923879,-0.001976219,-0.026272103,-0.003318402,4.5,5.3,3.2,10.25,-1.354569337,0.531879964,0.389264421,0.355959172,0.021524896,0.531879964,0.25,1.715895989
317,0.2,0.871400896,0.024088702,0.1168982,-0.016175192,-0.00136117,-0.026664965,-0.005213178,4.5,5.3,3.2,10.25,-0.739889352,0.352985825,0.347204452,0.350268107,0.027935363,0.352985825,0.25,2.311024938
317,0.3,0.930414616,0.024974517,0.089729459,-0.014072371,-0.000385042,-0.018262337,-0.002900057,4.5,5.3,3.2,10.25,-0.356589897,0.286802458,0.325295548,0.332577507,0.055270684,0.286802458,0.25,2.573051188
317,0.4,1.000506257,0.000184086,0.060803485,-0.010086758,-0.003227852,-0.009617727,-0.00171504,4.5,5.3,3.2,10.25,-0.343129262,0.249806986,0.308823128,0.316722486,0.044848076,0.249806986,0.25,2.573594006
317,0.5,0.939863729,0.003195522,0.040197986,-0.005864823,-0.001156623,-0.004290936,-0.000942772,4.5,5.3,3.2,10.25,-0.20882909,0.221370277,0.306802258,0.306855173,0.066411083,0.221370277,0.25,2.530732234
317,0.6,0.938234016,0,0.027161766,-0.002811222,0,-0.001496218,-0.000435594,4.5,5.3,3.2,10.25,-0.117021074,0.196032605,0.305905228,0.298731375,0.058809782,0.196032605,0.25,2.536422631
317,0.7,0.986064729,0,0.01909814,-0.001060405,0,-0.00018802,-0.000153357,4.5,5.3,3.2,10.25,-0.110444225,0.17207856,0.302582974,0.293809434,0.051623568,0.17207856,0.25,2.677597365
317,0.85,1.004077565,0,0.012705629,6.09E-05,0,0.000445414,2.15E-05,4.5,5.3,3.2,10.25,-0.124140567,0.137044238,0.289427004,0.286176394,0.041113272,0.137044238,0.25,2.734845151
317,1,0.940583505,0,0.010053747,0.000364482,0,0.000485894,6.50E-05,4.5,5.3,3.2,10.25,-0.033304699,0.106139571,0.278888659,0.280979451,0.031841871,0.106139571,0.25,2.567296595
318,0.01,0.795727854,0.023285741,0.791865568,-0.181941832,0.024738737,-0.136136819,-0.046524039,6.5,5.1,3.2,10.25,-0.351994821,0.309281452,0.269838645,0.223973523,0.039605233,0.309281452,0.25,1.454256852
318,0.1,0.436594292,0.041750019,0.208236705,-0.038537475,0.008679341,-0.055951974,-0.002146843,4.5,5.1,3.2,10.25,-1.187385803,0.544564917,0.372724219,0.354776143,0.02510348,0.544564917,0.25,1.533993194
318,0.2,0.858605772,0.019297892,0.12173458,-0.023844005,-0.008847708,-0.015588282,0.00148412,4.5,5.1,3.2,10.25,-0.712557944,0.362308936,0.331305877,0.34123399,0.028469613,0.362308936,0.25,2.355889324
318,0.3,0.938084684,0.0141902,0.079285384,-0.01716631,-0.007704437,-0.00249346,0.0022156,4.5,5.1,3.2,10.25,-0.410536658,0.290939178,0.330451449,0.320997245,0.045182153,0.290939178,0.25,2.632562551
318,0.4,0.98994778,0.009519434,0.054012316,-0.010580429,-0.005572026,0.000768986,0.001520079,4.5,5.1,3.2,10.25,-0.324537565,0.253712892,0.322116857,0.303865194,0.049147027,0.253712892,0.25,2.76658591
318,0.5,1.008205408,0.003868645,0.038391856,-0.005521438,1.69E-05,0.001023479,0.00078014,4.5,5.1,3.2,10.25,-0.257077896,0.225492951,0.315337646,0.294913516,0.067647885,0.225492951,0.25,2.799627626
318,0.6,1.016254386,0,0.028779249,-0.002362398,0,0.00071241,0.000318642,4.5,5.1,3.2,10.25,-0.207779496,0.198250294,0.311830857,0.295068495,0.059475088,0.198250294,0.25,2.771836057
318,0.7,1.022201777,0,0.022759916,-0.000700284,0,0.000417647,8.31E-05,4.5,5.1,3.2,10.25,-0.149624079,0.169479734,0.313570658,0.301586291,0.05084392,0.169479734,0.25,2.78397537
318,0.85,1.026641217,0,0.017728873,0.000260598,0,0.000147973,-4.77E-05,4.5,5.1,3.2,10.25,-0.071841317,0.124558138,0.314395233,0.307310672,0.037367441,0.124558138,0.25,2.792854622
318,1,1.000502354,0,0.015592883,0.000454293,0,2.31E-05,-7.01E-05,4.5,5.1,3.2,10.25,-0.011740354,0.085450539,0.309223964,0.30677888,0.025635162,0.085450539,0.25,2.719452068
320,0.01,0.571009723,0.063607519,0.698947469,-0.157143815,0.020865793,-0.123357793,-0.039741518,6.5,5.2,3.2,10.25,-0.463920676,0.340692426,0.219841257,0.215367791,0.03357433,0.340692426,0.25,1.376701776
320,0.1,0.34673481,0.04537191,0.125120873,-0.019078582,0.013927679,-0.032919072,0.00261007,4.5,5.3,3.2,10.25,-1.301022441,0.552027698,0.316925489,0.346628823,0.022405335,0.552027698,0.25,1.54648518
320,0.2,0.723862815,0.02579828,0.122510854,-0.019447002,0.001665734,-0.022845727,-5.94E-05,4.5,5.3,3.2,10.25,-0.765213927,0.360015827,0.304879574,0.329153509,0.025614571,0.360015827,0.25,2.082884392
320,0.3,0.841229175,0.017552507,0.096279868,-0.017106349,0.000269959,-0.013879747,-0.000427158,4.5,5.3,3.2,10.25,-0.460692809,0.287712522,0.30829527,0.318943253,0.034118551,0.287712522,0.25,2.343923661
