x,y
251537.5,609687.52
251562.5,609687.52
251587.5,609687.52
251612.5,609687.52
251637.5,609687.52
251662.5,609687.52
251687.5,609687.52
251712.5,609687.52
251737.5,609687.52
251762.5,609687.52
251787.5,609687.52
251812.5,609687.52
251837.5,609687.52
251862.5,609687.52
251887.5,609687.52
251912.5,609687.52
251937.5,609687.52
251962.5,609687.52
251987.5,609687.52
252012.5,609687.52
252037.5,609687.52
252062.5,609687.52
252087.5,609687.52
252112.5,609687.52
252137.5,609687.52
252162.5,609687.52
252187.5,609687.52
252212.5,609687.52
252237.5,609712.48
252262.5,609712.48
252287.5,609712.48
252312.5,609737.52
252337.5,609737.52
252362.5,609737.52
252387.5,609737.52
252412.5,609737.52
252437.5,609737.52
252462.5,609737.52
252487.5,609737.52
252512.5,609737.52
252537.5,609737.52
252562.5,609737.52
252587.5,609737.52
252612.5,609737.52
252637.5,609737.52
252662.5,609737.52
252687.5,609737.52
252712.5,609737.52
252737.5,609737.52
252762.5,609737.52
252787.5,609762.48
252812.5,609762.48
252837.5,609762.48
252862.5,609787.52
252887.5,609787.52
252912.5,609812.48
252937.5,609812.48
252962.5,609812.48
252987.5,609812.48
253012.5,609812.48
253037.5,609812.48
253062.5,609812.48
253087.5,609812.48
253112.5,609812.48
253137.5,609812.48
253162.5,609812.48
253187.5,609812.48
253212.5,609812.48
253237.5,609812.48
253262.5,609812.48
253287.5,609812.48
253312.5,609812.48
253337.5,609812.48
253362.5,609812.48
253387.5,609812.48
253412.5,609812.48
253437.5,609812.48
253462.5,609812.48
253487.5,609812.48
253512.5,609812.48
253537.5,609812.48
253562.5,609812.48
253587.5,609812.48
253612.5,609812.48
253637.5,609787.52
253662.5,609787.52
253687.5,609812.48
253712.5,609812.48
253737.5,609812.48
253783.06,609812.48
253799.18,609800
253814.04,609789.08
253974.62,609675.38
253987.5,609662.48
253987.5,609637.52
254012.5,609612.48
254037.5,609587.52
254037.5,609562.48
254062.5,609537.52
254065.47,609534.54
254105.6,609475
254115.46,609465.52
254129.06,609454.08
254135.18,609450
254144.16,609444.2
254150,609440.88
254181.57,609430.04
254206.02,609423.55
254231.23,609418.76
254237.5,609412.48
254262.5,609412.48
254287.5,609412.48
254312.5,609412.48
254337.5,609412.48
254362.5,609412.48
254387.5,609412.48
254412.5,609412.48
